estab_internacao;sim;nao;ign;total
2077531 A C CAMARGO CANCER CENTER;99;73;11;183
6771084 AES TATUAPE;;;1;1
6138667 AMA CAMPO LIMPO FERNANDO MAURO P DA ROCHA;1;;;1
6218830 AMA CAPAO REDONDO;43;7;2;52
6143180 AMA ENGENHEIRO GOULART DR JOSE PIRES;46;5;1;52
6165478 AMA HOSPITAL DR ARTHUR RIBEIRO DE SABOYA;11;8;1;20
6146295 AMA HOSPITAL IGNACIO PROENCA DE GOUVEA;1;;;1
6146309 AMA HOSPITALAR DR CARMINO CARICCHIO;56;2;2;60
6135927 AMA PARELHEIROS;2;;;2
6131662 AMA PARQUE FERNANDA;16;;;16
6133622 AMA SACOMA;24;;;24
6998208 AMA SOROCABANA;2;;;2
2787253 AMA UBS INTEGRADA JARDIM CASTRO ALVES DRA MARIA CRISTINA F;1;2;;3
2787474 AMA UBS INTEGRADA JARDIM ICARAI QUINTANA;3;;;3
2787601 AMA UBS INTEGRADA JD MIRIAM MANOEL SOARES DE OLIVEIRA;34;6;;40
2788225 AMA UBS INTEGRADA PERUS;;;1;1
2788292 AMA UBS INTEGRADA PQ DOROTEIA;5;;;5
2788322 AMA UBS INTEGRADA PQ FERNANDA;17;1;1;19
2077655 ASSOC AACD V CLEMENTINO;8;1;;9
5607442 ASSOCIACAO HOSPITAL PERSONAL CUIDADOS ESPECIAIS;11;1;9;21
9373306 ASSOCIACAO HOSPITALAR CONEGO DOMENICO RANGONI;5;1;;6
2091399 ASSOCIACAO NOSSA SENHORA DO PARI;1;1;1;3
6984649 BP HOSPITAL FILANTROPICO;6;2;;8
6430120 BP MIRANTE;65;43;47;155
2764814 CASA DE CARIDADE DE SAO LOURENCO;;1;;1
2081946 CASA DE SAUDE;;2;;2
2084309 CASA DE SAUDE;;;1;1
3008398 CASA DE SAUDE SANTOS;1;;;1
2271443 CASA DE SAUDE SAO JOSE;1;;;1
2082926 CASA DE SAUDE STELLA MARIS;;2;;2
2078287 CENTRO DE REFERENCIA DA SAUDE DA MULHER SAO PAULO;53;28;2;83
2048035 CENTRO DE VIGILANCIA A SAUDE DE DIADEMA;;;1;1
2084236 CENTRO ESP EM REABILITACAO DR ARNALDO PEZZUTI CAVALCANTI MOG;21;1;4;26
0008923 CENTRO HOSPITALAR DE SANTO ANDRE DR NEWTON DA COSTA BRANDAO;29;53;1;83
3001466 CENTRO HOSPITALAR DO SISTEMA PENITENCIARIO SAO PAULO;2;;;2
2079666 CENTRO MEDICO DE CAMPINAS;1;;;1
3464555 CENTRO MEDICO PMESP;277;10;26;313
3065634 CHN COMPLEXO HOSPITALAR DE NITEROI;1;;;1
9089136 CLINICA PREMIUM CARE FILIAL BELA VISTA;2;;;2
9238735 CLINICA PREMIUM CARE FILIAL CAMPO BELO;;1;;1
6032699 CLINICA PREMIUM CARE VILA OLIMPIA;;1;;1
2384299 COMPLEXO HOSPITAL DE CLINICAS;5;;1;6
0015369 COMPLEXO HOSPITALAR DO TRABALHADOR - CURITIBA - PR;1;;1;2
6998704 COMPLEXO HOSPITALAR DOS ESTIVADORES - SANTOS (SP);;;1;1
