estab_inter;cura;obito;obito_outros;ignorado;sem_info;total
2077477 HOSP STA MARCELINA SAO PAULO;2837;748;136;4;55;3780
2078015 HC DA FMUSP HOSPITAL DAS CLINICAS SAO PAULO;2410;1058;38;22;8;3536
9554157 HOSPITAL SALVALUS;1847;545;2;2;15;2411
5718368 HOSP MUN M BOI MIRIM;1594;545;16;2;71;2228
7174721 HOSPITAL SANCTA MAGGIORE PARAISO;1438;752;1;1;17;2209
2058502 HOSP DO SERV PUB EST FCO MORATO DE OLIVEIRA SAO PAULO;1443;613;3;8;1;2068
2066092 HOSPITAL GERAL DE PEDREIRA;1388;611;1;1;43;2044
2077485 HOSPITAL SAO PAULO HOSPITAL DE ENSINO DA UNIFESP SAO PAULO;1415;546;34;14;11;2020
2688603 HOSP STA CATARINA;1745;115;6;5;98;1969
2080583 HOSP MUN TIDE SETUBAL;1363;536;4;1;13;1917
0102083 HOSPITAL DE CAMPANHA COVID 19 SMS SP ANHEMBI P 38;1798;51;;11;38;1898
2077426 HOSPITAL ESTADUAL DE VILA ALPINA ORG SOCIAL SECONCI SAO PAUL;1228;642;5;1;;1876
7479387 UPA III NOVA CAMPO LIMPO;1056;317;2;17;465;1857
2089599 HOSP NSRA DE LOURDES;1650;67;1;63;53;1834
2688565 HOSPITAL SAO CAMILO POMPEIA;1636;129;3;1;;1769
2080575 HOSPITAL BP;1269;205;18;;11;1503
9465464 HOSP MUN JOSANIAS CASTANHA BRAGA;952;471;1;1;12;1437
2091755 HOSPITAL GERAL DE VILA PENTEADO DR JOSE PANGELLA SAO PAULO;745;627;2;4;30;1408
2089238 HOSP ALVORADA;1218;126;6;4;11;1365
0102075 HOSPITAL MUNICIPAL BELA VISTA;994;344;4;4;9;1355
5590450 HOSPITAL VILLA LOBOS;1214;62;3;6;48;1333
2058391 HOSPITAL ISRAELITA ALBERT EINSTEIN;1166;124;6;;1;1297
2076950 HOSPITAL OSWALDO CRUZ;1143;118;7;1;3;1272
9131434 HOSPITAL SANCTA MAGGIORE HIGIENOPOLIS;680;531;4;2;9;1226
2077639 HOSP MUN PROF DR WALDOMIRO DE PAULA;681;492;1;6;12;1192
2688689 SANTA CASA DE SAO PAULO HOSPITAL CENTRAL SAO PAULO;644;499;31;11;2;1187
3824802 SAO LUIZ UNIDADE MORUMBI;1091;67;8;4;;1170
2077507 HOSPITAL BANDEIRANTES;590;278;4;23;274;1169
2089777 HOSPITAL NIPO BRASILEIRO;925;74;9;86;22;1116
2078589 HOSP MAT STA MARIA-CRUZ AZUL;843;232;8;;5;1088
5420938 HOSP MUN CARMEN PRUDENTE;688;370;6;1;6;1071
7357079 HOSPITAL SANCTA MAGGIORE PINHEIROS;634;415;4;1;7;1061
2688573 HOSPITAL GERAL DE VILA NOVA CACHOEIRINHA SAO PAULO;755;269;;4;1;1029
2084473 HOSP MUN DR IGNACIO PROENCA DE GOUVEA;650;281;14;75;6;1026
6668143 HOSPITAL VITORIA;936;78;;;4;1018
0161438 HOSPITAL MUNICIPAL GUARAPIRANGA;822;171;;8;6;1007
0102105 HOSPITAL MUNICIPAL BRASILANDIA;581;240;;6;164;991
2077574 CONJUNTO HOSPITALAR DO MANDAQUI SAO PAULO;652;330;1;;2;985
2077671 HOSPITAL GERAL DO GRAJAU PROF LIBER JOHN ALPHONSE DI DIO SP;719;244;1;;20;984
2079240 HOSPITAL GERAL JESUS TEIXEIRA DA COSTA GUAIANASES SAO PAULO;580;286;8;4;91;969
2079127 HOSP SIRIO LIBANES;837;107;4;2;3;953
2080346 HOSP MUN DR CARMINO CARICCHIO;573;366;9;2;;950
2078481 HOSP AVICCENA;900;29;11;3;1;944
2077523 UNIDADE DE GESTAO ASSISTENCIAL II HOSPITAL IPIRANGA SP;557;275;8;88;8;936
2084333 HOSPITAL IGESP;666;237;5;;4;912
6938876 HOSPITAL E MATERNIDADE INTERMEDICA ABC;726;136;13;5;18;898
3212130 HOSP MUN VER JOSE STOROPOLLI;484;261;5;98;2;850
2082225 HOSPITAL KATIA DE SOUZA RODRIGUES TAIPASSP SAO PAULO;493;290;;37;1;821
2077620 HOSPITAL GERAL SANTA MARCELINA DE ITAIM PAULISTA SAO PAULO;529;256;4;;1;790
7174713 HOSPITAL SANCTA MAGGIORE MOOCA;430;337;2;1;9;779
2081970 HOSP MUN JABAQUARA ARTUR RIBEIRO DE SABOYA;385;199;;11;179;774
9684948 HOSPITAL SAMARITANO PAULISTA;534;135;4;6;74;753
2028840 INSTITUTO DE INFECTOLOGIA EMILIO RIBAS SAO PAULO;569;158;;22;2;751
3045625 HOSP MAT VIDAS;600;136;2;;2;740
2077604 HOSP PRESIDENTE;709;19;;3;6;737
2091313 HOSPITAL REGIONAL SUL SAO PAULO;576;157;1;;2;736
6146341 UPA PIRITUBA;489;183;;32;1;705
2091585 HOSPITAL ESTADUAL DE SAPOPEMBA SAO PAULO;389;288;;16;7;700
2081288 HOSPITAL DO CORACAO;617;77;;1;1;696
2077450 HOSP MUN DR JOSE SOARES HUNGRIA;376;308;1;7;1;693
6283993 HOSPITAL LEFORTE;488;47;1;3;132;671
2079089 HOSP 9 DE JULHO;475;134;7;8;4;628
2080818 HOSP SAMARITANO;532;76;;6;8;622
2077493 HOSPITAL GERAL DE SAO MATEUS SAO PAULO;418;155;1;2;14;590
7992890 HOSPITAL DIA REDE HORA CERTA DA CAPELA DO SOCORRO;549;16;;1;23;589
2089580 HOSPITAL SANTA PAULA;503;71;3;;;577
3367371 HOSPITAL DA LUZ;480;56;8;2;3;549
2082624 HOSP STA CRUZ;427;105;;2;;534
2078457 HOSP STA VIRGINIA;489;38;4;;;531
3039420 HOSPITAL SAO CAMILO SANTANA;421;106;;3;;530
2079445 HOSPITAL SANTA ISABEL;452;70;3;3;2;530
2752077 HOSP DO SERV PUB MUNICIPAL HSPM;360;128;19;2;8;517
2089602 HOSP MAT DO SEPACO;413;91;;4;2;510
2078082 HOSPITAL E MATERNIDADE METROPOLITANO;418;84;1;3;;506
0127868 HOSPITAL ESTADUAL DE CAMPANHA COVID 19 IBIRAPUERA;427;13;;5;49;494
2084139 HOSP MUN DR BENEDICTO MONTENEGRO;308;124;1;10;22;465
2091801 HOSPITAL CENTRAL DE GUAIANASES;425;34;;;4;463
2027100 PS MUN DR CAETANO VIRGILIO NETTO;368;74;3;5;11;461
7676484 HOSPITAL SANTA CLARA;264;184;2;;5;455
2080788 HOSP MUN V NHOCUNE ALEXANDRE ZAIO;206;172;1;4;38;421
2786680 HOSP MUN FERNANDO MAURO PIRES DA ROCHA;248;106;8;38;;400
2082314 HOSP ALBERT SABIN;352;34;6;2;;394
3309959 HOSPITAL BOSQUE DA SAUDE;297;79;;7;8;391
2089610 HOSP EDMUNDO VASCONCELOS;356;25;1;2;1;385
2089653 HOSP IGUATEMI;277;93;1;6;7;384
4050169 UPA PERUS DR LUIZ ANTONIO DE ABREU SAMPAIO DORIA;302;76;4;;;382
2080168 HOSPITAL DA CRIANCA;215;1;;;147;363
2082829 HOSP MUN PROFESSOR DOUTOR ALIPIO CORREA NETTO;222;119;18;;;359
2075407 PS MUN V MARIA BAIXA;265;28;2;56;7;358
9736700 UPA TITO LOPES;228;126;;1;2;357
0127876 HOSPITAL ESTADUAL DE CAMPANHA COVID 19 BARRADAS;262;81;;6;4;353
7638698 UPA VILA SANTA CATARINA;231;56;;5;44;336
9735372 HOSPITAL VILA NOVA STAR;287;17;2;28;;334
3464555 CENTRO MEDICO PMESP;278;51;;;1;330
2088495 INSTITUTO DANTE PAZZANESE DE CARDIOLOGIA IDPC SAO PAULO;171;133;2;6;17;329
2077531 A C CAMARGO CANCER CENTER;259;61;5;1;;326
2078597 HOSP STA HELENA;290;31;1;1;1;324
2071495 PS MUN SANTANA LAURO RIBAS BRAGA;120;45;;2;128;295
9997091 UPA JACANA;144;126;;4;20;294
0158119 COMPLEXO HOSPITALAR MUNICIPAL SOROCABANA;251;28;1;2;1;283
2076896 HOSP SAO LUIZ GONZAGA;194;76;1;3;6;280
7711980 HOSP MUN GILSON DE CASSIA MARQUES DE CARVALHO;136;132;1;;9;278
4050282 PSM DONA MARIA ANTONIETA FERREIRA DE BARROS;175;47;;1;53;276
2078627 DAY HOSPITAL DE ERMELINO MATARAZZO;257;10;;;7;274
2084376 HOSP PAULISTANO;139;67;6;31;30;273
9051422 UPA III 26 DE AGOSTO;183;72;;2;11;268
4050320 PS MUN DR ALVARO DINO DE ALMEIDA;185;38;4;3;37;267
0102040 HOSPITAL DE CAMPANHA COVID 19 SMS SP PACAEMBU;244;10;;;11;265
2688611 HOSP SAO LUIZUNIDADE I;236;23;;5;;264
0113123 HOSPITAL DE CAMPANHA COVID 19 SMS SP ANHEMBI P 35;226;11;;2;18;257
2075962 HOSP DA STA CASA DE STO AMARO;149;102;;;4;255
5907594 HOSP SAO LUIZ ANALIA FRANCO;167;78;3;5;2;255
2069032 UPA JULIO TUPY;147;101;2;;3;253
2066572 HOSPITAL HELIOPOLIS UNIDADE DE GESTAO ASSISTENCIAL I SP;152;96;1;1;;250
