estab_internacao;sim;nao;ign;total
2077531 A C CAMARGO CANCER CENTER;100;212;14;326
6271855 AES SANTANA;2;1;1;4
6771084 AES TATUAPE;2;;1;3
6218830 AMA CAPAO REDONDO;2;;;2
6143180 AMA ENGENHEIRO GOULART DR JOSE PIRES;3;1;;4
6135730 AMA ERMELINO MATARAZZO ALIPIO CORREA NETTO;;;1;1
6146295 AMA HOSPITAL IGNACIO PROENCA DE GOUVEA;10;4;2;16
6146309 AMA HOSPITALAR DR CARMINO CARICCHIO;2;;;2
6148344 AMA JARDIM PERI;3;;6;9
6135927 AMA PARELHEIROS;1;3;1;5
5636469 AMA SE;;;2;2
2787474 AMA UBS INTEGRADA JARDIM ICARAI QUINTANA;1;;;1
2077655 ASSOC AACD V CLEMENTINO;3;3;;6
5607442 ASSOCIACAO HOSPITAL PERSONAL CUIDADOS ESPECIAIS;22;6;21;49
9373306 ASSOCIACAO HOSPITALAR CONEGO DOMENICO RANGONI;1;2;;3
2200457 ASSOCIACAO MARIO PENNA - BELO HORIZONTE (MG);1;;;1
2091399 ASSOCIACAO NOSSA SENHORA DO PARI;;3;;3
6984649 BP HOSPITAL FILANTROPICO;20;15;3;38
6430120 BP MIRANTE;53;68;2;123
2382865 CAIS VALPARAISO II - VALPARAISO DE GOIAS (GO);1;;;1
2127911 CASA DE CARIDADE DE OURO FINO - OURO FINO - MG;1;;;1
2081946 CASA DE SAUDE;2;2;;4
3008398 CASA DE SAUDE SANTOS;1;;2;3
2271443 CASA DE SAUDE SAO JOSE;1;;;1
6697054 CASU IRMA DENISE - CARATINGA (MG);;2;;2
2078287 CENTRO DE REFERENCIA DA SAUDE DA MULHER SAO PAULO;50;8;16;74
2077957 CENTRO DE REFERENCIA E TREINAMENTO DSTAIDS SAO PAULO;2;2;;4
2084236 CENTRO ESP EM REABILITACAO DR ARNALDO PEZZUTI CAVALCANTI MOG;2;1;;3
0008923 CENTRO HOSPITALAR DE SANTO ANDRE DR NEWTON DA COSTA BRANDAO;37;23;4;64
3001466 CENTRO HOSPITALAR DO SISTEMA PENITENCIARIO SAO PAULO;3;;;3
2191164 CENTRO MATERNO INFANTIL JUVENTINA PAULA DE JESUS - CONTAGEM (MG);1;;;1
2079666 CENTRO MEDICO DE CAMPINAS;1;1;;2
3464555 CENTRO MEDICO PMESP;231;69;30;330
9238735 CLINICA PREMIUM CARE FILIAL CAMPO BELO;;2;1;3
7710569 CLINICA PREMIUM CARE FILIAL ITAIM;2;4;1;7
6032699 CLINICA PREMIUM CARE VILA OLIMPIA;5;6;1;12
0015369 COMPLEXO HOSPITALAR DO TRABALHADOR - CURITIBA - PR;;1;1;2
6998704 COMPLEXO HOSPITALAR DOS ESTIVADORES - SANTOS (SP);;;3;3
2716097 COMPLEXO HOSPITALAR IRMA DULCE O S S;3;2;;5
2082594 COMPLEXO HOSPITALAR MUNICIPAL;18;13;2;33
6625649 COMPLEXO HOSPITALAR OITO DE DEZEMBRO UNIDADE I;18;20;5;43
7013981 COMPLEXO HOSPITALAR OITO DE DEZEMBRO UNIDADE II;;1;;1
2079410 COMPLEXO HOSPITALAR PADRE BENTO DE GUARULHOS;43;11;7;61
0026840 COMPLEXO HOSPITALAR SAO FRANCISCO - BELO HORIZONTE (MG);;1;;1
0158119 COMPLEXO HOSPITALAR MUNICIPAL SOROCABANA;164;46;74;284
2077574 CONJUNTO HOSPITALAR DO MANDAQUI SAO PAULO;606;226;153;985
2081695 CONJUNTO HOSPITALAR SOROCABA;1;;1;2
2078627 DAY HOSPITAL DE ERMELINO MATARAZZO;130;142;2;274
9491252 DR RUBENS SAVASTANO HOSPITAL REGIONAL DE SAO JOSE DOS CAMPOS - SJC - SP;2;7;3;12
2080001 FAMILY HOSPITAL;14;;;14
2105365 FUNDACAO HOSPITALAR DO MUNICIPIO DE ESPINOSA;1;;;1
2090236 FUNDACAO PIO XII - BARRETOS (SP);2;3;;5
2001586 FUNDHACRE - RIO BRANCO (AC);;;1;1
9946179 GREEN LINE SISTEMA DE SAUDE - OSASCO (SP);;;1;1
2078015 HC DA FMUSP HOSPITAL DAS CLINICAS SAO PAULO;2463;506;568;3537
2402084 HCC HOSPITAL DE CLINICA DE CONQUISTA (VITORIA DA CONQUISTA - BA);2;;;2
2786435 HCSVP HOSPITAL SAO VICENTE;4;;2;6
3654826 HDT - HOSPITAL DE DOEN€AS TROPICAIS DO TOCANTINS;1;;;1
2139049 HEFA;;1;;1
2079089 HOSP 9 DE JULHO;520;61;47;628
2082314 HOSP ALBERT SABIN;110;17;267;394
2089238 HOSP ALVORADA;511;823;31;1365
2078481 HOSP AVICCENA;174;742;28;944
2078600 HOSP DA AERONAUTICA DE SPHASP;26;4;3;33
2075962 HOSP DA STA CASA DE STO AMARO;146;110;3;259
0027049 HOSP DAS CLINICAS DA UNIV FED DE MINAS GERAIS EBSERH;;1;;1
3019012 HOSP DE CLINICAS J HELENA;64;71;4;139
2088576 HOSP DE TRANSPLANT DO EST DE SP EURYCLIDES DE JESUS ZERBINI;86;50;8;144
2058502 HOSP DO SERV PUB EST FCO MORATO DE OLIVEIRA SAO PAULO;123;23;1922;2068
2752077 HOSP DO SERV PUB MUNICIPAL HSPM;372;103;42;517
2077469 HOSP DOM ANTONIO DE ALVARENGA;111;12;111;234
2080230 HOSP E MAT MENINO JESUS;1;;;1
5174465 HOSP E MATERNIDADE DO BRAZ;10;4;3;17
