COVID19 Síndrome Respiratória Aguda Grave (SRAG)
Nº de Casos por Estab de Internação e Suporte ventilatório
Período:2022
"Estab de Internação";"Em branco";"Sim, invasivo";"Sim, não invasivo";"Não";"Ignorado";"Total"
"2077531 A C CAMARGO CANCER CENTER";2;3;44;88;-;137
"6218830 AMA CAPAO REDONDO";-;-;1;-;-;1
"6143180 AMA ENGENHEIRO GOULART DR JOSE PIRES";3;-;-;1;-;4
"6165478 AMA HOSPITAL DR ARTHUR RIBEIRO DE SABOYA";-;1;1;1;-;3
"6146309 AMA HOSPITALAR DR CARMINO CARICCHIO";-;-;-;1;-;1
"2077655 ASSOC AACD V CLEMENTINO";-;3;1;-;-;4
"5607442 ASSOCIACAO HOSPITAL PERSONAL CUIDADOS ESPECIAIS";-;2;6;2;-;10
"6430120 BP MIRANTE";20;5;26;33;-;84
"2081946 CASA DE SAUDE";-;-;2;-;-;2
"3008398 CASA DE SAUDE SANTOS";-;-;-;1;-;1
"2078287 CENTRO DE REFERENCIA DA SAUDE DA MULHER SAO PAULO";-;1;6;5;-;12
"0008923 CENTRO HOSPITALAR DE SANTO ANDRE DR NEWTON DA COSTA BRANDAO";-;2;2;-;1;5
"3001466 CENTRO HOSPITALAR DO SISTEMA PENITENCIARIO SAO PAULO";-;-;1;-;-;1
"2079666 CENTRO MEDICO DE CAMPINAS";-;-;2;-;-;2
"3464555 CENTRO MEDICO PMESP";-;2;29;4;4;39
"2716097 COMPLEXO HOSPITALAR IRMA DULCE O S S";-;-;2;-;-;2
"2082594 COMPLEXO HOSPITALAR MUNICIPAL";2;1;-;-;-;3
"6625649 COMPLEXO HOSPITALAR OITO DE DEZEMBRO UNIDADE I";-;1;-;2;-;3
"7013981 COMPLEXO HOSPITALAR OITO DE DEZEMBRO UNIDADE II";-;-;13;4;-;17
"2079410 COMPLEXO HOSPITALAR PADRE BENTO DE GUARULHOS";-;-;2;-;-;2
"0158119 COMPLEXO HOSPITALAR MUNICIPAL SOROCABANA";-;-;1;-;-;1
"2077574 CONJUNTO HOSPITALAR DO MANDAQUI SAO PAULO";7;60;548;214;122;951
"2078627 DAY HOSPITAL DE ERMELINO MATARAZZO";-;1;-;-;-;1
"9491252 DR RUBENS SAVASTANO HOSPITAL REGIONAL DE SAO JOSE DOS CAMPOS - SJC - SP";-;-;-;1;-;1
"2080001 FAMILY HOSPITAL";-;-;6;9;-;15
"2078015 HC DA FMUSP HOSPITAL DAS CLINICAS SAO PAULO";59;77;182;153;-;471
"2296608 HCJ HOSPITAL DE CLINICAS DE JACAREPAGUA";-;-;1;-;-;1
"2786435 HCSVP HOSPITAL SAO VICENTE";-;-;1;-;-;1
"2079089 HOSP 9 DE JULHO";4;19;192;18;1;234
"2082314 HOSP ALBERT SABIN";25;3;38;180;-;246
"2089238 HOSP ALVORADA";9;17;395;115;-;536
"2078481 HOSP AVICCENA";9;6;39;112;-;166
"2078600 HOSP DA AERONAUTICA DE SPHASP";-;-;5;2;-;7
"3019012 HOSP DE CLINICAS J HELENA";2;-;1;1;-;4
"2088576 HOSP DE TRANSPLANT DO EST DE SP EURYCLIDES DE JESUS ZERBINI";2;6;10;19;-;37
"2058502 HOSP DO SERV PUB EST FCO MORATO DE OLIVEIRA SAO PAULO";18;28;200;9;1;256
"2752077 HOSP DO SERV PUB MUNICIPAL HSPM";3;21;56;8;-;88
"2077469 HOSP DOM ANTONIO DE ALVARENGA";51;1;3;5;5;65
"2089610 HOSP EDMUNDO VASCONCELOS";1;4;9;5;-;19
"2078007 HOSP GERAL DE SAO PAULO";3;3;3;4;1;14
"2089653 HOSP IGUATEMI";-;4;27;4;-;35
"2680785 HOSP MAT ALVORADA STO AMARO";1;1;24;6;1;33
"2089602 HOSP MAT DO SEPACO";6;2;16;30;-;54
"2080796 HOSP MAT SAO CRISTOVAO";3;20;33;6;-;62
"2079542 HOSP MAT STA JOANA";-;1;2;-;-;3
"2078589 HOSP MAT STA MARIA-CRUZ AZUL";1;34;422;244;70;771
"3045625 HOSP MAT VIDAS";6;10;23;48;-;87
"2077752 HOSP MONUMENTO CEHM";-;-;1;-;-;1
"5420938 HOSP MUN CARMEN PRUDENTE";2;9;77;34;5;127
"7473702 HOSP MUN DE MOGI DAS CRUZES PREF WALDEMAR COSTA FILHO";-;-;4;-;-;4
"2084139 HOSP MUN DR BENEDICTO MONTENEGRO";12;8;50;54;1;125
"2080346 HOSP MUN DR CARMINO CARICCHIO";-;12;16;6;-;34
"2084473 HOSP MUN DR IGNACIO PROENCA DE GOUVEA";5;13;42;31;-;91
"2077450 HOSP MUN DR JOSE SOARES HUNGRIA";-;2;24;8;2;36
"2786680 HOSP MUN FERNANDO MAURO PIRES DA ROCHA";2;37;21;3;-;63
"7711980 HOSP MUN GILSON DE CASSIA MARQUES DE CARVALHO";-;36;157;18;1;212
"2078325 HOSP MUN INFANTIL MENINO JESUS";4;58;596;464;34;1156
"2081970 HOSP MUN JABAQUARA ARTUR RIBEIRO DE SABOYA";-;8;2;4;-;14
"9465464 HOSP MUN JOSANIAS CASTANHA BRAGA";-;9;22;2;1;34
"5718368 HOSP MUN M BOI MIRIM";6;76;620;185;-;887
"2075717 HOSP MUN MATERNIDADE PROFESSOR MARIO DEGNI";2;1;2;6;-;11
"2077639 HOSP MUN PROF DR WALDOMIRO DE PAULA";93;17;19;35;1;165
"2082829 HOSP MUN PROFESSOR DOUTOR ALIPIO CORREA NETTO";29;11;5;12;5;62
"2080583 HOSP MUN TIDE SETUBAL";428;243;396;34;20;1121
"2080788 HOSP MUN V NHOCUNE ALEXANDRE ZAIO";7;19;169;40;-;235
"3212130 HOSP MUN VER JOSE STOROPOLLI";10;28;134;59;2;233
"2082861 HOSP MUNICIPAL DE URGENCIAS HMU";2;-;2;-;2;6
"2089599 HOSP NSRA DE LOURDES";13;2;34;142;-;191
"2084376 HOSP PAULISTANO";1;6;55;56;-;118
"2077604 HOSP PRESIDENTE";11;17;161;55;22;266
"2080818 HOSP SAMARITANO";127;11;89;102;1;330
"5907594 HOSP SAO LUIZ ANALIA FRANCO";-;11;19;2;-;32
"2076896 HOSP SAO LUIZ GONZAGA";11;23;243;11;7;295
"2688611 HOSP SAO LUIZUNIDADE I";21;11;57;147;1;237
"2079127 HOSP SIRIO LIBANES";120;6;64;94;-;284
"2688603 HOSP STA CATARINA";210;16;108;347;1447;2128
"2082624 HOSP STA CRUZ";2;6;45;2;-;55
"2078597 HOSP STA HELENA";3;3;16;3;-;25
"2084341 HOSP STA MAGGIORE";-;-;2;-;-;2
"2077477 HOSP STA MARCELINA SAO PAULO";14;49;160;225;2;450
"2078457 HOSP STA VIRGINIA";3;-;2;6;14;25
"7060165 HOSPITAL A C CAMARGO TAMANDARE";7;-;4;5;2;18
"3166597 HOSPITAL ADVENTISTA DE SAO PAULO";4;3;13;7;2;29
"2081865 HOSPITAL ALBERT SABIN ATIBAIA";-;2;-;-;-;2
"2083191 HOSPITAL ALPHA MED CARAPICUIBA";1;-;-;-;-;1
"2793466 HOSPITAL ALVORADA JACAREI - JACAREI (SP)";-;-;-;1;-;1
"2690764 HOSPITAL AMERICA";1;-;7;16;-;24
"2077388 HOSPITAL AMPARO MATERNAL";-;-;-;11;-;11
"2025760 HOSPITAL ANA COSTA DE SANTOS";-;-;-;1;-;1
"2025361 HOSPITAL ANCHIETA";-;1;-;-;-;1
"3024660 HOSPITAL ASSUNCAO";-;-;6;1;-;7
"2077507 HOSPITAL BANDEIRANTES";111;5;13;8;-;137
"2084090 HOSPITAL BARTIRA";-;1;4;7;-;12
"2718324 HOSPITAL BOM CLIMA";9;-;1;-;-;10
"3309959 HOSPITAL BOSQUE DA SAUDE";22;10;96;18;-;146
"2080575 HOSPITAL BP";13;31;165;129;-;338
"2081628 HOSPITAL CARLOS CHAGAS";3;2;1;22;-;28
